trial_id,time_total_s,dataset,optimizer,act_funct,n_units,n_hidden_layers,dropout,batch_size,metric,metric type/class,metric value
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,loss,,1.1457260847091677
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,categorical_accuracy,,0.5909653306007385
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Weighted,0.5832429528236389
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Micro,0.5909653306007385
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Macro,0.5812576413154602
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,Description,0.0
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,Sintomas,0.6177777647972107
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,Causas,0.1434977650642395
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,FactoresRiesgo,0.380952388048172
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,Complicaciones,0.1988636404275894
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,Prevencion,0.4166666567325592
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,Diagnostico,0.6740087866783142
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Recall,Tratamiento,0.6399999856948853
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,Description,0.0
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,Sintomas,0.727748692035675
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,Causas,0.6153846383094788
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,FactoresRiesgo,0.6666666865348816
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,Complicaciones,0.5645161271095276
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,Prevencion,0.78125
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,Diagnostico,0.8547486066818237
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,Precision,Tratamiento,0.8275862336158752
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Description,0.0
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Sintomas,0.6682692235693908
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Causas,0.2327272838576766
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,FactoresRiesgo,0.4848484958498931
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Complicaciones,0.2941176512426394
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Prevencion,0.5434782524190012
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Diagnostico,0.7536945676361856
08a3f1ee,57.22428584098816,LDA,Adamax,relu,152,2,0.2,16,F-Score,Tratamiento,0.7218045123429848
4a1f6476,85.82373261451721,LDA,Adamax,relu,114,1,0.2,16,loss,,1.1990247964859009
4a1f6476,85.82373261451721,LDA,Adamax,relu,114,1,0.2,16,categorical_accuracy,,0.5823019742965698
4a1f6476,85.82373261451721,LDA,Adamax,relu,114,1,0.2,16,F-Score,Weighted,0.5751209259033203
4a1f6476,85.82373261451721,LDA,Adamax,relu,114,1,0.2,16,F-Score,Micro,0.5823019742965698
