trial_id,time_total_s,dataset,optimizer,n_units_gru,bidirectional,trainable_embeddings,act_funct,n_units_mlp,n_hidden_layers,dropout,batch_size,stacked_gru_layers,second_layer_bidirectional,metric,metric type/class,metric value
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,loss,,0.3296675682067871
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,categorical_accuracy,,0.9077970385551452
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Weighted,0.9076281785964966
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Micro,0.9077970385551452
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Macro,0.9046627283096312
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,Description,0.8658008575439453
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,Sintomas,0.946666657924652
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,Causas,0.8699551820755005
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,FactoresRiesgo,0.920634925365448
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,Complicaciones,0.7784090638160706
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,Prevencion,0.8999999761581421
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,Diagnostico,0.9647576808929444
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Recall,Tratamiento,0.9333333373069764
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,Description,0.900900900363922
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,Sintomas,0.926086962223053
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,Causas,0.877828061580658
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,FactoresRiesgo,0.930481255054474
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,Complicaciones,0.9194630980491638
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,Prevencion,0.8999999761581421
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,Diagnostico,0.9776785969734192
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,Precision,Tratamiento,0.9589040875434875
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Description,0.8830022029534572
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Sintomas,0.9362637349019202
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Causas,0.8738738901579972
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,FactoresRiesgo,0.925531903250609
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Complicaciones,0.8430769117265053
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Prevencion,0.8999999761581421
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Diagnostico,0.9711751645318434
ae1f107a,1686.3756103515625,Doc2Vec_Big,Adamax,64,True,False,relu,32.0,1,0.35,32,False,,F-Score,Tratamiento,0.9459459372599512
0a737a40,1366.814383506775,Doc2Vec_Big,Adamax,64,True,False,relu,128.0,2,0.35,32,False,,loss,,0.299843430519104
0a737a40,1366.814383506775,Doc2Vec_Big,Adamax,64,True,False,relu,128.0,2,0.35,32,False,,categorical_accuracy,,0.9139851331710817
0a737a40,1366.814383506775,Doc2Vec_Big,Adamax,64,True,False,relu,128.0,2,0.35,32,False,,F-Score,Weighted,0.9137747287750244
0a737a40,1366.814383506775,Doc2Vec_Big,Adamax,64,True,False,relu,128.0,2,0.35,32,False,,F-Score,Micro,0.9139851331710817
0a737a40,1366.814383506775,Doc2Vec_Big,Adamax,64,True,False,relu,128.0,2,0.35,32,False,,F-Score,Macro,0.9116312265396118
